Lep Name,Lep Url
Macrauzata fenestraria,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Macrauzata_fenestraria_insulata_male.jpg/269px-Macrauzata_fenestraria_insulata_male.jpg
Macrauzata maxima,None
Nordstromia japonica,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Nordstromia_japonica1.jpg/239px-Nordstromia_japonica1.jpg
Nordstromia sp.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Nordstromia_sp._%28Drepanidae%29.jpg/270px-Nordstromia_sp._%28Drepanidae%29.jpg
Ochropacha duplaris,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Ochropacha_duplaris.jpg/307px-Ochropacha_duplaris.jpg
Oreta carnea,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Oreta_carnea_%28Drepanidae-_Drepaninae%29_%286564986655%29.jpg/270px-Oreta_carnea_%28Drepanidae-_Drepaninae%29_%286564986655%29.jpg
Oreta extensa,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Oreta_extensa5.jpg/270px-Oreta_extensa5.jpg
Polyploca ridens,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Polyploca.ridens.jpg/240px-Polyploca.ridens.jpg
Pseuderosia cristata,None
Pseuderosia desmierdechenoni,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Pseuderosia_desmierdechenoni_%28Drepanidae_Drepaninae%29.jpg/264px-Pseuderosia_desmierdechenoni_%28Drepanidae_Drepaninae%29.jpg
Teldenia pura,None
Teldenia vestigiata,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Teldenia_vestigiata_%E0%B4%AA%E0%B5%82%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B4%BE%E0%B4%B2%E0%B4%BF_%2829818166603%29.jpg/156px-Teldenia_vestigiata_%E0%B4%AA%E0%B5%82%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B4%BE%E0%B4%B2%E0%B4%BF_%2829818166603%29.jpg
Tethea ampliata,None
Tethea consimilis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Tethea_consimilis_%28Drepanidae_Thyatirinae%29.jpg/270px-Tethea_consimilis_%28Drepanidae_Thyatirinae%29.jpg
Tethea octogesima,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Tethea_octogesima_watanabei_%2835673950005%29.jpg/270px-Tethea_octogesima_watanabei_%2835673950005%29.jpg
Tethea ocularis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Tethea_ocularis_FvL.jpg/241px-Tethea_ocularis_FvL.jpg
Tethea or,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tethea_or2.jpg/240px-Tethea_or2.jpg
Tetheella fluctuosa,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Tetheella_fluctuosa.jpg/294px-Tetheella_fluctuosa.jpg
Biselachista utonella,None
Canariana cedronellae,None
Cosmiotes freyerella,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Cosmiotes_freyerella.jpg/240px-Cosmiotes_freyerella.jpg
Cosmiotes illectella,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/-_1129_%E2%80%93_Elachista_illectella_%2822124323648%29.jpg/274px--_1129_%E2%80%93_Elachista_illectella_%2822124323648%29.jpg
Elachista apicipunctella,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Elachista_apicipunctella.jpg/306px-Elachista_apicipunctella.jpg
Elachista argentosa,None
Elachista bisulcella,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Elachista_bisulcella2.jpg/300px-Elachista_bisulcella2.jpg
Elachista diederichsiella,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Elachista_diederichsiella.JPG/337px-Elachista_diederichsiella.JPG
Elachista disemiella,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Elachista_disemiella.JPG/297px-Elachista_disemiella.JPG
Elachista dispunctella,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Elachista_dispunctella.jpg/404px-Elachista_dispunctella.jpg
Elachista maculosella,None
Elachista nearcha,None
Perittia obscurepunctella,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Perittia_obscurepunctella.jpg/384px-Perittia_obscurepunctella.jpg
Petrochroa swezeyi,None
Phthinostoma inamoena,None
Whitebreadia granadensis,None
Epermenia chaerophyllella,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Epermenia_chaerophyllella_possibly_%2814027456811%29.jpg/246px-Epermenia_chaerophyllella_possibly_%2814027456811%29.jpg
Epermenia cicutaella,None
Epermenia dentosella,None
Epermenia exilis,None
Epermenia parasitica,None
Heteropsyche,None
Eriocrania salopiella,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Eriocrania_salopiella.jpg/97px-Eriocrania_salopiella.jpg
Eriocrania sangii,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Eriocrania_sangii.jpg/347px-Eriocrania_sangii.jpg
Eriocrania semipurpurella,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Eriocrania_semipurpurella01.jpg/239px-Eriocrania_semipurpurella01.jpg
Eriocrania sparrmannella,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Eriocrania_sparrmannella1.jpg/232px-Eriocrania_sparrmannella1.jpg
Eriocrania subpurpurella,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Dyseriocrania_subpurpurella-02_%28xndr%29.jpg/120px-Dyseriocrania_subpurpurella-02_%28xndr%29.jpg
Eriocrania unimaculella,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Eriocrania_unimaculella.jpg/299px-Eriocrania_unimaculella.jpg
Ethmia colonella,None
Eupterote minor,None
Phyllalia flavicostata,None
Phyllalia patens,None
Phyllalia thunbergii,None
sp. 13,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/RWD_13_SP-WDL.jpg/226px-RWD_13_SP-WDL.jpg
Anacampsis populella,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Anacampsis_populella.jpg/253px-Anacampsis_populella.jpg
Anarsia citromitra,None
Anarsia didymopa,None
Anarsia dryinopa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Anarsia_dryinopa_AMNZ13958.jpg/253px-Anarsia_dryinopa_AMNZ13958.jpg
Anarsia nigricana,None
Apatetris halimilignella,None
Aristotelia argentifera,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Aristotelia_argentifera_%2840913954300%29.jpg/240px-Aristotelia_argentifera_%2840913954300%29.jpg
Aristotelia ivae,None
Aristotelia lespedezae,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Aristotelia_lespedezae_P1110712a.jpg/190px-Aristotelia_lespedezae_P1110712a.jpg
